URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/additional-instruction-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.95",SNOMEDCTAdditionalDosageInstructions,SNOMED CT Additional Dosage Instructions,"This value set includes all SNOMED CT Additional Dosage Instructions.","StructureDefinition/be-medicationdispense","SCT"
http://hl7.org/fhir/ValueSet/administration-method-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.97",SNOMEDCTAdministrationMethodCodes,SNOMED CT Administration Method Codes,"This value set includes some method codes from SNOMED CT - provided as an exemplar","StructureDefinition/be-medicationdispense","SCT"
http://hl7.org/fhir/ValueSet/approach-site-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.346",SNOMEDCTAnatomicalStructureForAdministrationSiteCodes,SNOMED CT Anatomical Structure for Administration Site Codes,"This value set includes Anatomical Structure codes from SNOMED CT - provided as an exemplar.","StructureDefinition/be-medicationdispense","SCT"
http://hl7.org/fhir/ValueSet/dose-rate-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.981",DoseAndRateType,DoseAndRateType,"The kind of dose or rate specified.","StructureDefinition/be-medicationdispense","THO"
http://hl7.org/fhir/ValueSet/identifier-type,4.0.1,active,"2.16.840.1.113883.4.642.3.45",Identifier Type Codes,IdentifierType,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","StructureDefinition/be-medicationdispense","THO (V2)"
http://hl7.org/fhir/ValueSet/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.3.57",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","StructureDefinition/be-medicationdispense","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/be-medicationdispense","hl7.terminology"
http://hl7.org/fhir/ValueSet/medication-as-needed-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.96",SNOMEDCTMedicationAsNeededReasonCodes,SNOMED CT Medication As Needed Reason Codes,"This value set includes all clinical findings from SNOMED CT - provided as an exemplar value set.","StructureDefinition/be-medicationdispense","SCT"
http://hl7.org/fhir/ValueSet/medication-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.375",SNOMEDCTMedicationCodes,SNOMED CT Medication Codes,"This value set includes all drug or medicament substance codes and all pharmaceutical/biologic products from SNOMED CT - provided as an exemplar value set.","StructureDefinition/be-medicationdispense","SCT"
http://hl7.org/fhir/ValueSet/medicationdispense-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.1314",MedicationDispense Category Codes,Medication dispense  category  codes,"MedicationDispense Category Codes","StructureDefinition/be-medicationdispense","THO"
http://hl7.org/fhir/ValueSet/medicationdispense-performer-function,4.0.1,draft,"2.16.840.1.113883.4.642.3.1318",MedicationDispense Performer Function Codes,Medication dispense  performer  function  codes,"MedicationDispense Performer Function Codes","StructureDefinition/be-medicationdispense","THO"
http://hl7.org/fhir/ValueSet/medicationdispense-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.1312",MedicationDispense Status Codes,Medication dispense  status  codes,"MedicationDispense Status Codes","StructureDefinition/be-medicationdispense","THO"
http://hl7.org/fhir/ValueSet/medicationdispense-status-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.1316",MedicationDispense Status Reason Codes,Medication dispense  status  reason  codes,"MedicationDispense Status Codes","StructureDefinition/be-medicationdispense","THO"
http://hl7.org/fhir/ValueSet/resource-types,4.0.1,active,"2.16.840.1.113883.4.642.3.27",ResourceType,ResourceType,"One of the resource types defined as part of this version of FHIR.","StructureDefinition/be-model-medication-dispense,StructureDefinition/be-medicationdispense","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/route-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.98",SNOMEDCTRouteCodes,SNOMED CT Route Codes,"This value set includes all Route codes from SNOMED CT - provided as an exemplar.","StructureDefinition/be-medicationdispense","SCT"
http://terminology.hl7.org/ValueSet/v3-ActPharmacySupplyType,3.0.0,active,"2.16.840.1.113883.1.11.16208",ActPharmacySupplyType,ActPharmacySupplyType,"Identifies types of dispensing events","StructureDefinition/be-medicationdispense","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-ActSubstanceAdminSubstitutionCode,3.0.0,active,"2.16.840.1.113883.1.11.16621",ActSubstanceAdminSubstitutionCode,ActSubstanceAdminSubstitutionCode,"***No description***","StructureDefinition/be-medicationdispense","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-SubstanceAdminSubstitutionReason,3.0.0,active,"2.16.840.1.113883.1.11.19377",SubstanceAdminSubstitutionReason,SubstanceAdminSubstitutionReason,"***No description***","StructureDefinition/be-medicationdispense","THO (V3)"
https://www.ehealth.fgov.be/standards/fhir/medication/ValueSet/be-vs-dispenser-types,2.0.0,draft,,DispenserTypes,Dispenser Types,"Dispenser Types - from hcparty",,"hl7.fhir.be.core"
